
99.5667	99.8353	0.433276	0.164745	0.998046	0.995667	0.996855	4596	
99.8777	99.9817	0.122287	0.0183318	0.999694	0.998777	0.999235	3267	
100	100	0	0	1	1	1	58	
-nan	100	-nan	0	-nan	-nan	-nan	0	
-nan	100	-nan	0	-nan	-nan	-nan	0	
100	99.9817	0	0.0183318	0.75	1	0.857143	3	
100	100	0	0	1	1	1	1	
98.9399	99.9817	1.06007	0.0183318	0.996441	0.989399	0.992908	280	
100	99.9817	0	0.0183318	0.5	1	0.666667	1	
0	99.9633	100	0.0366569	0	0	-nan	0	
-nan	100	-nan	0	-nan	-nan	-nan	0	
92.6829	100	7.31707	0	1	0.926829	0.962025	38	
-nan	100	-nan	0	-nan	-nan	-nan	0	
100	100	0	0	1	1	1	1	
100	100	0	0	1	1	1	20	
99.0431	99.9817	0.956938	0.0183318	0.995192	0.990431	0.992806	207	
0	100	100	0	-nan	0	-nan	0	
99.6212	99.9633	0.378788	0.0366569	0.992453	0.996212	0.994329	263	
100	100	0	0	1	1	1	224	
-nan	100	-nan	0	-nan	-nan	-nan	0	
100	100	0	0	1	1	1	60	
95.7746	100	4.22535	0	1	0.957746	0.978417	68	
100	100	0	0	1	1	1	1	
