@relation train_new-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement_predicted

@attribute protocol_type {tcp,udp,icmp}
@attribute service {ftp_data,other,private,http,remote_job,name,netbios_ns,eco_i,mtp,telnet,finger,domain_u,supdup,uucp_path,Z39_50,smtp,csnet_ns,uucp,netbios_dgm,urp_i,auth,domain,ftp,bgp,ldap,ecr_i,gopher,vmnet,systat,http_443,efs,whois,imap4,iso_tsap,echo,klogin,link,sunrpc,login,kshell,sql_net,time,hostnames,exec,ntp_u,discard,nntp,courier,ctf,ssh,daytime,shell,netstat,pop_3,nnsp,IRC,pop_2,printer,tim_i,pm_dump,red_i,netbios_ssn,rje,X11,urh_i,http_8001,aol,http_2784,tftp_u,harvest}
@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute land numeric
@attribute wrong_fragment numeric
@attribute root_shell numeric
@attribute count numeric
@attribute diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute 'prediction margin' numeric
@attribute 'predicted label' {normal,neptune,warezclient,ipsweep,portsweep,teardrop,nmap,satan,smurf,pod,back,guess_passwd,ftp_write,multihop,rootkit,buffer_overflow,imap,warezmaster,phf,land,loadmodule,spy,perl}
@attribute label {normal,neptune,warezclient,ipsweep,portsweep,teardrop,nmap,satan,smurf,pod,back,guess_passwd,ftp_write,multihop,rootkit,buffer_overflow,imap,warezmaster,phf,land,loadmodule,spy,perl}

@data
tcp,ftp_data,SF,192,0,0,0,0,2,0,0.14,1,normal,?
tcp,private,S0,0,0,0,0,0,246,0.05,0.02,-1,neptune,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
udp,private,SF,105,0,0,0,0,2,0,0.01,1,normal,?
udp,other,SF,147,105,0,0,0,1,0,0.95,1,normal,?
tcp,http,SF,213,454,0,0,0,65,0,0.02,1,normal,?
tcp,private,S0,0,0,0,0,0,112,0.08,0.02,-1,neptune,?
tcp,private,REJ,0,0,0,0,0,283,0.06,0,-1,neptune,?
tcp,ldap,S0,0,0,0,0,0,225,0.05,0,-1,neptune,?
tcp,http,SF,267,1471,0,0,0,1,0,0.07,1,normal,?
icmp,urp_i,SF,78,0,0,0,0,11,0.18,0.07,1,normal,?
tcp,private,S0,0,0,0,0,0,40,0.12,0,-1,neptune,?
tcp,http,SF,217,1030,0,0,0,2,0,0.5,1,normal,?
tcp,ftp_data,SF,334,0,0,0,0,2,0,1,-0.986577,warezclient,?
tcp,http,REJ,0,0,0,0,0,1,0,0.05,1,normal,?
tcp,echo,S0,0,0,0,0,0,295,0.05,0,-1,neptune,?
tcp,finger,S0,0,0,0,0,0,3,0.67,0,-1,neptune,?
tcp,smtp,SF,1160,330,0,0,0,1,0,0.01,1,normal,?
tcp,telnet,SF,116,10788,0,0,0,1,0,0.07,1,normal,?
tcp,http,SF,210,396,0,0,0,6,0,0.01,1,normal,?
tcp,http,SF,196,527,0,0,0,35,0,0,1,normal,?
